Oscars 2017 Red carpet designers	Image URL	ACTRESSES (FYI only)		
John Galliano	https://www.bing.com/images/search?q=oscars+red+carpet+John+Galliano&view=detailv2&qft=+filterui%3aaspect-wide&id=E4BEEF127FE617EE53F9943E97D51196F3F36B71&selectedIndex=1&ccid=8CSwsNnQ&simid=608051140017258760&thid=OIP.8CSwsNnQ-DuP_imlPCUTtgEsDd	Heidi Klum 2013		
Lanvin	https://www.bing.com/images/search?q=lanvin+meryl+streep+oscars&view=detailv2&qft=+filterui%3aaspect-wide&id=3A6C65E6A378DC695A81561FC79C0E4A24DBFB88&selectedIndex=8&ccid=HTENLX2P&simid=608041880067247693&thid=OIP.M1d310d2d7d8f2c2e9d61e756392496d2o0	Meryl Streep 2012		
Louis Vuitton	https://www.bing.com/images/search?q=oscars+red+carpet+Louis+Vuitton&view=detailv2&qft=+filterui%3aaspect-wide&id=10AD85142A867D667D988110FCF91B0484DF7F58&selectedIndex=92&ccid=kGXNIw%2fA&simid=608012931989439591&thid=OIP.M9065cd230fc00221e67c45e811d16de8o0	Alicia Vikander 2016		
Marc Bouwer	https://www.bing.com/images/search?q=angelina+jolie+oscars+2004&view=detailv2&qft=+filterui%3aaspect-wide&id=D0DCB934FDF7D76822551EFC59579545FEF08FC0&selectedIndex=5&ccid=%2fYVIzdtv&simid=607995301154719463&thid=OIP.Mfd8548cddb6f09af41ff77019620d85co0	Angelina Jolie 2004		
Marchesa	https://www.bing.com/images/search?q=Olivia+Munn+Oscars+2013+Red+Carpet&view=detailv2&&id=2A08EE8EFA3957694F69891693D1B1FF0CA5CDF1&selectedIndex=0&ccid=iV2DKoIW&simid=608023931395967603&thid=OIP.iV2DKoIWRoeAYKFkuPR62QEsDS	Olivia Munn 2013		
Max Azria Atelier	https://www.bing.com/images/search?view=detailV2&ccid=gRL7PXgr&pccid=fQvCzngw&id=0D60AF226B0D137E8A4D69CC3D5C383BD3185A87&pmid=8B9838BB5A17D69774BED81FC673E9F434448520&q=Max+Azria+Red+Carpet+oscars&qpvt=Angelina+Jolie+Baby+Bump&psimid=608004698544017045&ppageurl=http%3a%2f%2fcompletefashion.org%2fangelina-jolie%2f&iss=VSI&selectedIndex=13&count=35	Angelina Jolie 2012		
Michael Kors	https://www.bing.com/images/search?q=oscars+red+carpet+Michael+Kors+-globes+-gala+laura+linney&view=detailv2&qft=+filterui%3aaspect-wide&id=096558D46311CB4813C3993F9A3FC13B407EDFDB&selectedIndex=0&ccid=ioE0ff7G&simid=608006304858246646&thid=OIP.M8a81347dfec6c6bec45daed33f0e63e7o2	Laura Linney 2008		
Monique Lhuillier 	https://www.bing.com/images/search?q=chrissy+teigen+2014+red+carpet+oscars&view=detailv2&qft=+filterui%3aaspect-wide&id=A36BDFED6826D3B837F07CFB29835CF03F8C5B02&selectedIndex=3&ccid=a8QnkQMb&simid=608044319618893587&thid=OIP.M6bc42791031b44ebc9fce3b01d2d7e5eo0	Chrissy Teigen 2014		
Monse	https://www.bing.com/images/search?q=brie+larson+oscars+red+carpet&view=detailv2&qft=+filterui%3aaspect-wide&id=F6548D655E0F01E15A5E37FF2D379AC8DC9B57B4&selectedIndex=152&ccid=HUQW8pIP&simid=608010432314346788&thid=OIP.M1d4416f2920f4649dc6bc8d446be58dfo0	Brie Larson 2016		
Nina Ricci	https://www.bing.com/images/search?q=Nina+Ricci+oscars+red+carpet&view=detailv2&qft=+filterui%3aaspect-wide&id=A7C69A837DDF7994A6E686DB0F7064905592090B&selectedIndex=88&ccid=umk7Dm%2b6&simid=608026899228984048&thid=OIP.Mba693b0e6fbafc8a950850974def9852o0	Keri Russell 2008		
Oscar de la Renta	https://www.bing.com/images/search?q=oscar+de+la+renta+oscars+red+carpet&view=detailv2&&id=D1B6D35501889D64A27018203B6959CB3F03E21A&selectedIndex=0&ccid=damfhYFA&simid=608021659372424879&thid=OIP.M75a99f8581408ea925c6f57e8a656d9bo0	Amy Adams 2013		
Pierre Balmain	https://www.bing.com/images/search?q=Pierre+Balmain+red+carpet+oscars&view=detailv2&qft=+filterui%3aaspect-wide&id=8E9935996469DF1659EAC1F182F6BDB544309E9D&selectedIndex=6&ccid=2e1Hzynn&simid=608034239316625471&thid=OIP.Md9ed47cf29e7044016288911c0c086efo0	Penelope Cruz 2009		
Prada	https://www.bing.com/images/search?q=oscars+red+carpet+lupita+2014&view=detailv2&&id=6384A9968458ADF763CD8A2BE8CD1B4DB1050D80&selectedIndex=4&ccid=5n25a%2fMK&simid=608020005797760009&thid=OIP.Me67db96bf30a9d0805e932c8959dd186o0	Lupita Nyong'o 2014		
Ralph Lauren	https://www.bing.com/images/search?q=Nina+Ricci+oscars+red+carpet&view=detailv2&qft=+filterui%3aaspect-wide&id=A7C69A837DDF7994A6E686DB0F7064905592090B&selectedIndex=88&ccid=umk7Dm%2b6&simid=608026899228984048&thid=OIP.Mba693b0e6fbafc8a950850974def9852o0	Gwyneth Paltrow 1999		
Reem Acra	https://www.bing.com/images/search?q=bette+midler+oscars+2014&view=detailv2&qft=+filterui%3aaspect-wide&id=4361F6F17A43F2DD362548066FCF8BB21E66A12F&selectedIndex=1&ccid=iZN1v72j&simid=608027311539817137&thid=OIP.M899375bfbda374a78091bd4ad372a6a2o0	Bette Midler 2014		
Tadashi Shoji	https://www.bing.com/images/search?q=Tadashi+Shoji+oscars+red+carpet+OCTAVIA+SPENCER&view=detailv2&qft=+filterui%3aaspect-wide&id=15FA6276B16499C782502D1D0A3097ED4677D2D6&selectedIndex=4&ccid=YWM5xVEE&simid=607997053489253962&thid=OIP.M616339c551047046afd282320775a4c4o0	Octavia Spencer 2013		
Thierry Mugler	https://www.bing.com/images/search?q=mugler+rooney+mara+oscars+red+carpet&view=detailv2&qft=+filterui%3aaspect-wide&id=1F72C9DF9FD6A6CA9EC6AC05E008E81BFACBB5B1&selectedIndex=18&ccid=DwBAe8dD&simid=608007348536542240&thid=OIP.M0f00407bc743205004d8c5b3a398cd00o0	Rooney Mara 2016		
Tom Ford	https://www.bing.com/images/search?q=tom+ford+oscars+red+carpet&view=detailv2&qft=+filterui%3aaspect-wide&id=5C1FFD6FC3339349D150A5B9C209D4DD7F7E093D&selectedIndex=5&ccid=6%2fUZQvYo&simid=608018352234889623&thid=OIP.Mebf51942f62885c981459b2b218a51d8o2	Reese Witherspoon 		
Tony Ward	https://www.bing.com/images/search?q=oscars+red+carpet+tony+ward&view=detailv2&qft=+filterui%3aaspect-wide&id=523E8F0462E9C773EBD298745F3CE8EE4BAA2E6E&selectedIndex=1&ccid=npfRhhGQ&simid=607997341250816902&thid=OIP.M9e97d1861190b24c2e41a301fbbdd374o0	Kristin Chenowith 2013		
Valentino	https://www.bing.com/images/search?q=Valentino+oscars+red+carpet&view=detailv2&qft=+filterui%3aaspect-wide&id=6E0787F9971BE725266AA8869386193162553B06&selectedIndex=42&ccid=FWPnVqFU&simid=608040080477653502&thid=OIP.M1563e756a1549765e5af91e836bba718o0	Sally Field 2013		
Vera Wang	https://www.bing.com/images/search?q=michelle+williams+oscars+2006&view=detailv2&qft=+filterui%3aaspect-wide&id=35274B85E35FABCF764FBE23B14E9E6B3B5D4654&selectedIndex=14&ccid=fPGILN%2ft&simid=608003787999347941&thid=OIP.M7cf1882cdfed60e9ff867a2cd02af759o0	Michelle Williams 2006		
Versace	https://www.bing.com/images/search?q=Oscars+Sexiest+Dresses&view=detailv2&&id=6FF3B6F1E1E84DAA3ED29018DBA4E34D4E8AF1FC&selectedIndex=4&ccid=bhMgGOJg&simid=608049606711248756&thid=OIP.M6e132018e2605e2af753a8ed84127ca3o0	Gigi Hadid		
Viktor & Rolf	https://www.bing.com/images/search?q=%c2%adviktor+%26+rolf+red+carpet+oscars&view=detailv2&qft=+filterui%3aaspect-wide&id=86C70DB2889DFF3492010DB4E6986ADF46442FE5&selectedIndex=3&ccid=vBe6MfK%2b&simid=607997384198131275&thid=OIP.Mbc17ba31f2be3fef238901e35de9c190o0	Anne Hathaway 2014		
Yves Saint Laurent	https://www.bing.com/images/search?q=kate+winslet+2009+oscars+red+carpet&view=detailv2&qft=+filterui%3aaspect-wide&id=B03CC59151CEBADB174C4507C157FBEED7D198D6&selectedIndex=64&ccid=i1Pr73K0&simid=607986629615945917&thid=OIP.M8b53ebef72b4fb698dca504d1d259633o0	Kate Winslet 2009		
Zac Posen	https://www.bing.com/images/search?q=viola+davis+oscars&view=detailv2&qft=+filterui%3aaspect-wide&id=2B7012A99264E52CC63F00F3DC0C6EF4BB3B0371&selectedIndex=33&ccid=Z3plzrDt&simid=608042382579008210&thid=OIP.M677a65ceb0edebe4c92837f92dc692ddo0	Viola Davis 2015		
Zuhair Murad	https://www.bing.com/images/search?q=2013+oscars+kate+hudson&view=detailv2&qft=+filterui%3aaspect-wide&id=FC558B162265E5C3DE89FD67003AAD8C4557AA71&selectedIndex=11&ccid=J0wgcIG4&simid=608051011168767194&thid=OIP.M274c207081b8654595ca39ae614234dbo0	Jennifer Lopez 2012		
